id;name;timezone;slug;postal_code;latitude;longitude;is_published;has_offers;country_id;message_title;message_content;message_link;image_name;image_size;created_at;updated_at;description
62;Villeurbanne;Europe/Paris;villeurbanne;NULL;45,771944;4,8901709;0;0;1;NULL;NULL;NULL;NULL;NULL;26/02/2022 16:20;26/02/2022 16:20;NULL
63;Coulommiers;Europe/Paris;coulommiers;NULL;48,813071;3,083497;0;0;1;NULL;NULL;NULL;NULL;NULL;26/02/2022 23:39;26/02/2022 23:39;NULL
64;Issy-les-Moulineaux;Europe/Paris;issy-les-moulineaux;NULL;48,8245306;2,2743419;0;0;1;NULL;NULL;NULL;NULL;NULL;03/03/2022 22:28;03/03/2022 22:28;NULL
65;Mandelieu-la-Napoule;Europe/Paris;mandelieu-la-napoule;NULL;43,546232;6,938309;0;0;1;NULL;NULL;NULL;NULL;NULL;05/03/2022 17:16;05/03/2022 17:16;NULL
66;Val Buëch-Méouge;Europe/Paris;val-buech-meouge;NULL;44,2311097;5,8566705;0;0;1;NULL;NULL;NULL;NULL;NULL;07/03/2022 20:06;07/03/2022 20:06;NULL
67;Saint-Ouen;Europe/Paris;saint-ouen;NULL;48,911856;2,333764;0;0;1;NULL;NULL;NULL;NULL;NULL;08/03/2022 16:45;08/03/2022 16:45;NULL
68;Maastricht;Europe/Amsterdam;maastricht;NULL;50,8513682;5,6909725;0;0;4;NULL;NULL;NULL;NULL;NULL;08/03/2022 17:32;08/03/2022 17:32;NULL
69;Tinqueux;Europe/Paris;tinqueux;NULL;49,247224;3,999442;0;0;1;NULL;NULL;NULL;NULL;NULL;09/03/2022 17:26;09/03/2022 17:26;NULL
70;Noisy-le-Grand;Europe/Paris;noisy-le-grand;NULL;48,848579;2,55261;0;0;1;NULL;NULL;NULL;NULL;NULL;11/03/2022 18:23;11/03/2022 18:23;NULL
71;Rezé;Europe/Paris;reze;NULL;47,190616;-1,569382;0;0;1;NULL;NULL;NULL;NULL;NULL;13/03/2022 12:51;13/03/2022 12:51;NULL
72;Ixelles;Europe/Brussels;ixelles;NULL;50,8335711;4,366433;0;0;2;NULL;NULL;NULL;NULL;NULL;13/03/2022 19:07;13/03/2022 19:07;NULL
73;Anglet;Europe/Paris;anglet;NULL;43,481402;-1,514699;0;0;1;NULL;NULL;NULL;NULL;NULL;13/03/2022 20:51;13/03/2022 20:51;NULL
74;Saint-André-lez-Lille;Europe/Paris;saint-andre-lez-lille;NULL;50,660979;3,047736;0;0;1;NULL;NULL;NULL;NULL;NULL;15/03/2022 07:47;15/03/2022 07:47;NULL
75;Montbéliard;Europe/Paris;montbeliard;NULL;47,510356;6,798466;0;0;1;NULL;NULL;NULL;NULL;NULL;15/03/2022 10:59;15/03/2022 10:59;NULL
76;Vauciennes;Europe/Paris;vauciennes;NULL;49,23699;3,030354;0;0;1;NULL;NULL;NULL;NULL;NULL;15/03/2022 11:38;15/03/2022 11:38;NULL
77;Sélestat;Europe/Paris;selestat;NULL;48,259386;7,454241;0;0;1;NULL;NULL;NULL;NULL;NULL;15/03/2022 21:45;15/03/2022 21:45;NULL
